employer_id,vacancy_id,evidence_url,support_team_size_min,support_evidence,evidence_type,mentions_24_7,shift_work
4496,128748970,https://hh.ru/vacancy/128748970,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
4519872,128239897,https://hh.ru/vacancy/128239897,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
4609253,128736994,https://hh.ru/vacancy/128736994,10,Признаки крупной поддержки: упоминание 24/7/круглосуточно. По правилу B ставим минимум 10.,jobs,1,0
4643258,127986970,https://hh.ru/vacancy/127986970,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
4672638,128753429,https://hh.ru/vacancy/128753429,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
4706873,128118175,https://hh.ru/vacancy/128118175,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
4767715,128871288,https://hh.ru/vacancy/128871288,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
4818299,126980533,https://hh.ru/vacancy/126980533,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
4841198,128753640,https://hh.ru/vacancy/128753640,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
4880,128742433,https://hh.ru/vacancy/128742433,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
4934,127988488,https://hh.ru/vacancy/127988488,10,Признаки крупной поддержки: упоминание 24/7/круглосуточно. По правилу B ставим минимум 10.,jobs,1,0
4951002,128592697,https://hh.ru/vacancy/128592697,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
4975947,128774917,https://hh.ru/vacancy/128774917,40,Прямое указание размера команды поддержки: 40 человек.,jobs,0,0
4976119,128700337,https://hh.ru/vacancy/128700337,10,Признаки крупной поддержки: упоминание 24/7/круглосуточно. По правилу B ставим минимум 10.,jobs,1,0
5046346,128573429,https://hh.ru/vacancy/128573429,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
5100430,128553539,https://hh.ru/vacancy/128553539,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
5384033,128521500,https://hh.ru/vacancy/128521500,10,Признаки крупной поддержки: сменный график/ночные смены. По правилу B ставим минимум 10.,jobs,0,1
